,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
16,Secretaría de Movilidad de Medellín,@sttmed,2021-12-01T23:00:16.000Z,"Secretaría de Movilidad de Medellín
@sttmed
·
1 dic.","¡En #MovilidadEnLínea te damos soluciones eficientes!
 
Haz el pago de tus multas de tránsito en cualquier sucursal Cotrafa, Davivienda o Banco Popular.
 
Accede  http://bit.ly/2OmKZb6, digita el número de documento, genera el código de barras, descarga tu factura y paga.
3",👉,,,3,['https://pbs.twimg.com/media/FFjrSHfUcAI7d5G?format=jpg&name=small'],https://twitter.com/sttmed/status/1466180376754225153
17,Juan Correa,@judaco23,2021-12-01T15:29:42.000Z,"Juan Correa
@judaco23
·
1 dic.","@Davivienda
 ¿está caída la plataforma de pagos por PSE? llevo un buen rato intentando y no carga.
5
4",,5,,4,[],https://twitter.com/judaco23/status/1466066985125621766
18,Liz,@LizHenao,2021-12-01T17:36:35.000Z,"Liz
@LizHenao
·
1 dic.","Entonces en 
@Davivienda
 te debitan el dinero, pero no se ve reflejado en lo que debes pagar. Ahora solo falta que se pierda el dinero y toque pagar de nuevo.
1",,1,,,[],https://twitter.com/LizHenao/status/1466098916596895753
19,Simon Nariño,@simonnarino,2021-12-01T21:43:51.000Z,"Simon Nariño
@simonnarino
·
1 dic.","@Davivienda
 en todo el día no he podido acceder a los canales virtuales ni por la app ni PC
2
1",,2,,1,[],https://twitter.com/simonnarino/status/1466161145866334217
20,Aura Maria Puyana,@Aumapumu,2021-12-01T03:01:52.000Z,"Aura Maria Puyana
@Aumapumu
·
30 nov.","En respuesta a 
@Davivienda
 y 
@DavidFlorezMP
Hoy no pude pagar la luz.
1",,,,1,[],https://twitter.com/Aumapumu/status/1465878788651298828
21,JUAN BERNAL,@jsbgm,2021-12-01T14:15:51.000Z,"JUAN BERNAL
@jsbgm
·
1 dic.","@Davivienda
 para cuando Apple Pay?
1
4",,1,,4,[],https://twitter.com/jsbgm/status/1466048400529494024
22,henryalexi,@henryAropero,2021-12-01T12:28:14.000Z,"henryalexi
@henryAropero
·
1 dic.","En respuesta a 
@CCSILVA86
 @claudiamzuleta
 y 
@QuintinQuinter
lastima que estén como en DAVIVIENDA
1",,,,1,[],https://twitter.com/henryAropero/status/1466021318437093385
23,ContraPunto,@contra_punto,2021-12-01T20:02:47.000Z,"ContraPunto
@contra_punto
·
1 dic.","#CPNacionales | A Juan Tennant Wright le podría costar US$1 millón el insinuar que Antonio Salaverría manipuló juicio para vencer a Davivienda 
Lea acá:
contrapunto.com.sv
A Juan Tennant Wright le podría costar US$1 millón el insinuar que Antonio Salaverría manipuló...
El demandante indicó que han presentando una obra de arte jurídico penal donde se demuestran muchísimas razones para que Juan Tennant Wright sea condenado.
1
1
1",,1,1,1,['https://pbs.twimg.com/card_img/1474156637925646338/vo4C3x4L?format=jpg&name=small'],https://twitter.com/contra_punto/status/1466135710566604809
24,MiXterKoji,@MiXterKoji,2021-12-01T16:33:58.000Z,"MiXterKoji
@MiXterKoji
·
1 dic.","Creo que Colombia empezará su camino al desarrollo la quincena en que los servidores de 
@Davivienda
 @DaviPlata
 @Bancolombia
 y 
@Nequi
 no se caigan... O será buscar otras alternativas...
1",,1,,,[],https://twitter.com/MiXterKoji/status/1466083158420504587
25,Daniela Abdelnur,@DaniAbdelnur,2021-12-01T17:33:49.000Z,"Daniela Abdelnur
@DaniAbdelnur
·
1 dic.","En respuesta a 
@SebastianRegino
 y 
@Davivienda
Pensé que era la única… no funciona nada
3
1",,3,,1,[],https://twitter.com/DaniAbdelnur/status/1466098221722206208
26,Stiven De Jesus Samp,@StivenSamp,2021-12-01T21:39:40.000Z,"Stiven De Jesus Samp
@StivenSamp
·
1 dic.","Respondiendo a 
@cafenofilo
 @tagy_petus
 y 3 más
De que se trata esa app?
1",,,,1,[],https://twitter.com/StivenSamp/status/1466160090407395333
27,Valora Analitik,@ValoraAnalitik,2021-12-01T16:22:49.000Z,"Valora Analitik
@ValoraAnalitik
·
1 dic.","#Macroeconomía  
El Equipo de Estudios Económicos del #GrupoBolívar dio a conocer el Índice de Gestión de Compras (PMI) del sector industrial colombiano de 
@Davivienda
 para noviembre de 2021.
valoraanalitik.com
Aumenta PMI manufacturero en Colombia, pero preocupa la crisis de contenedores
El Equipo de Estudios Económicos del Grupo Bolívar dio a conocer el Índice de Gestión de Compras (PMI) del sector industrial colombiano.
1
1",,,1,1,['https://pbs.twimg.com/card_img/1474156892192714761/Z0pc0UfL?format=jpg&name=small'],https://twitter.com/ValoraAnalitik/status/1466080353555300358
28,CarolusFerrum,@CarolusFerrum,2021-12-01T00:38:14.000Z,"CarolusFerrum
@CarolusFerrum
·
30 nov.","En respuesta a 
@oskar767
 y 
@johngongo
La cara de davivienda que ponen esos ""entrevistadores"" no tiene precio!. 
1
3",🤣 🤣 🤣,1,,3,[],https://twitter.com/CarolusFerrum/status/1465842639912292353
29,Juan Carlos Reyes,@reyes_juank,2021-12-01T20:06:28.000Z,"Juan Carlos Reyes
@reyes_juank
·
1 dic.","En respuesta a 
@Davivienda
Gracias, ya envié el mensaje directo, sin embargo, considero importante que el tema se solucione de manera general y muy pronto ya que veo que a otros usuarios y compañeros les está sucediendo igual.",,,,,[],https://twitter.com/reyes_juank/status/1466136635989532691
30,Blueangel,@Blueangel2021,2021-12-01T18:12:48.000Z,"Blueangel
@Blueangel2021
·
1 dic.","Y resulta que ahora en los pagos por PSE no me sale la opción de pagar con Davivienda, sólo Daviplata, pero ustedes tienen mi dinero y no voy a meter más dinero.

Por culpa de ustedes 
@Davivienda
 ahora me toca como en el pasado, ir a hacer filas a los bancos.
2
2",,2,,2,[],https://twitter.com/Blueangel2021/status/1466108033361223686
31,Carmelo Ramiro Rafael.,@__barataria,2021-12-01T18:20:18.000Z,"Carmelo Ramiro Rafael.
@__barataria
·
1 dic.","Lo logró 
@Davivienda
  ahora su página web y su App son igual de inútiles que las de 
@Bancolombia
 Eso sí, la calculadora de intereses sin funciona 24/7
1
1",,1,,1,[],https://twitter.com/__barataria/status/1466109918642163722
32,Alejo Gutierrez,@AlejoGB,2021-12-01T20:48:35.000Z,"Alejo Gutierrez
@AlejoGB
·
1 dic.","Srs 
@Davivienda
 
Porque si la mesa de dinero y transacciones int cierra a la 1pm, en el portal, la tasa de negociacion del dolar de remesas no se mantiene en lo que cierra el dolar cuando cierra la mesa de dinero y siguen jugando a bajarle y bajarle?
1",,1,,,[],https://twitter.com/AlejoGB/status/1466147237151531019
33,marian,@2Marianfuentes,2021-12-01T22:32:14.000Z,"marian
@2Marianfuentes
·
1 dic.","@Davivienda
  no responde por los robos de Daviplata cómo es posible que retiraran mi dinero en jamundi Antioquia estando en Bogota!!! Llamo y me dicen que busque a la policía para que encuentre al ladrón. Me cambiaron mi numero de Daviplata sin autorización 
@Davivienda
 respondan
2",,2,,,[],https://twitter.com/2Marianfuentes/status/1466173321981140992
34,Oborinque,@Oborinque,2021-12-01T22:42:56.000Z,"Oborinque
@Oborinque
·
1 dic.","En respuesta a 
@SaraTufanoZ
 y 
@petrogustavo
Preocupación tenemos con usted y varios que dicen estar en el ph y solo atacan y atacan no aportan nada será que están como davivienda el pacto y el futuro gobierno de petro es con todos el baile de los que sobran revísalo",,,,,[],https://twitter.com/Oborinque/status/1466176011939323906
35,David,@David72995006,2021-12-01T02:07:37.000Z,"David
@David72995006
·
30 nov.","En respuesta a 
@KarenTralara
 y 
@metrodemedellin
Ahí tienes tu respuesta 
@karentralara
 el metro nno regala nada solo es un modelo marketing para que las personas usen la cívica pay por medio de davivienda para generar ingresos a davivienda
1",,,,1,[],https://twitter.com/David72995006/status/1465865134446989315
36,elsalvador.com,@elsalvadorcom,2021-12-01T16:50:55.000Z,"elsalvador.com
@elsalvadorcom
·
1 dic.","#Destacados | El colectivo de arte, Volarte, y la entidad financiera Davivienda unieron esfuerzos para realizar la séptima edición de esta exhibición de obras en el redondel Beethoven, al norte de la capital.
elsalvador.com
Davivienda y Volarte inauguran muestra ""Inspiraciones del alma"" | Noticias de El Salvador
El colectivo de arte y la entidad financiera unieron esfuerzos para realizar la 7° edición de esta exhibición en el redondel Beethoven, al norte de la capital.
1
2",,,1,2,['https://pbs.twimg.com/card_img/1473707288087216129/-GoS_bCF?format=jpg&name=small'],https://twitter.com/elsalvadorcom/status/1466087425977896963
37,HAROLD EDUARDO VARGAS VARGAS,@HAROLDEDUARDOV2,2021-12-01T15:55:16.000Z,"HAROLD EDUARDO VARGAS VARGAS
@HAROLDEDUARDOV2
·
1 dic.","En respuesta a 
@Davivienda
Es la peor app en este momento, no dejan ingresar y la excusa como todo siempre es ""estamos haciendo una actualización"" y si uno se ve perjudicado, después de ser el mejor banco está ahora al nivel de Bcsc lo peor en servicio 
@Davivienda
 @sicsuper
 @SFCsupervisor",,,,,[],https://twitter.com/HAROLDEDUARDOV2/status/1466073422493106177
38,CIFU,@wilsoncifu,2021-12-01T17:11:08.000Z,"CIFU
@wilsoncifu
·
1 dic.","@Davivienda
 he tratado de pagar varias facturas por pse y no ha sido posible, inclusive al desplegar la lista de entidades bancarias Davivienda ya no esta. Que ocurre?
1",,1,,,[],https://twitter.com/wilsoncifu/status/1466092511420682244
39,Iam_crisfer,@iam_crisfer,2021-12-01T20:03:29.000Z,"Iam_crisfer
@iam_crisfer
·
1 dic.","En respuesta a 
@Davivienda
Les quedo grande arreglar esa plataforma de pago 
@Davivienda
 3 pm y nada q puedo hace el pago para pode librarme de ese servicio de uds necesito pagar para llamar a cancelarles
1",,1,,,[],https://twitter.com/iam_crisfer/status/1466135887612465155
40,Juan Carlos Reyes,@reyes_juank,2021-12-01T19:48:13.000Z,"Juan Carlos Reyes
@reyes_juank
·
1 dic.","@Davivienda
 señores davivienda, la app para dispositivos móviles vuelve a presentar inconvenientes. De la misma manera, la página web ha presentado dificultades para ingresar a realizar transaccionew, favor solucionar rápido. Veo que no es un tema particular
1",,1,,,[],https://twitter.com/reyes_juank/status/1466132045260808198
41,DORIS MARTINEZ RICO,@damcolombia,2021-12-01T18:58:04.000Z,"DORIS MARTINEZ RICO
@damcolombia
·
1 dic.","En respuesta a 
@Davivienda
Se necesita que RECONOZCAN Y SOLUCIONEN PROBLEMAS en páguna web DAVIVIENDA y en la App. Me tienen maniatada desde ayer; primero fallas en página web, hoy hasta en la App. Transferí para retirar por Bancolombia, tampoco ha sido posible.
3",✍,3,,,[],https://twitter.com/damcolombia/status/1466119424608505864
42,dario ortega,@darioortegah,2021-12-01T04:22:26.000Z,"dario ortega
@darioortegah
·
30 nov.","En respuesta a 
@ernestomaciast
 y 
@AlvaroUribeVel
Gracias señor Macías, siendo sensatos, usted estaba como Davivienda, en el lugar equivocado. El congreso necesita gente preparada que vea la realidad del país, no la idolatría a su líder...",,,,,[],https://twitter.com/darioortegah/status/1465899062637600772
43,RappiPay Colombia,@RappiPay,2021-12-01T19:36:13.000Z,"RappiPay Colombia
@RappiPay
·
1 dic.","En respuesta a 
@JulianaUssa3
 @DaviPlata
 y 
@Davivienda
¡Hola Juliana! Por favor amplíanos información sobre tu problema por DM. Para nosotros eres lo más importante#GoRappiCard
1",🧡 🚀,1,,,[],https://twitter.com/RappiPay/status/1466129024942542851
44,Laura Martinez,@laumarlon,2021-12-01T11:57:31.000Z,"Laura Martinez
@laumarlon
·
1 dic.","Por el contrario, solicité en un supermercado la tarjeta de 
@Davivienda
 el día 30 de octubre, solicitan mil datos, huellas de casi todos los dedos (solo les falta pedir las de los pies) y que en 15 días hábiles estaba llegando y me llamaban antes.
2",,2,,,[],https://twitter.com/laumarlon/status/1466013589119148037
45,RUBENS!!!,@Ruben_sote,2021-12-01T20:31:58.000Z,"RUBENS!!!
@Ruben_sote
·
1 dic.","En respuesta a 
@Davivienda
La verdad no se más detallar, es muy evidente el por qué de mi petición y queja,  un engaño lo que están haciendo con los clientes ya que no prestan el servicio que ofrecen, deberían notificar que tienen condiciones y restricciónes para efectuar el pago 
@SFCsupervisor
1",,1,,,[],https://twitter.com/Ruben_sote/status/1466143055703162887
46,DaviPlata,@DaviPlata,2021-12-01T19:58:41.000Z,"DaviPlata
@DaviPlata
·
1 dic.","En respuesta a 
@_Cavernicola_
Buenas tardes, contamos con más de 10.000 Puntos DaviPlata - Corresponsales Bancarios Davivienda a nivel nacional. Si desea consultar el más cercano a usted ingrese a: https://dav.ac/GRefe

Gracias por comunicarse con DaviPlata. Que tenga un buen día. :)",,,,,[],https://twitter.com/DaviPlata/status/1466134677887070212
47,Jorge Luis Fince,@jorgelfince,2021-12-01T15:32:36.000Z,"Jorge Luis Fince
@jorgelfince
·
1 dic.","@Davivienda
 las notificaciones están llegando horas después. Pilas, que hacen infartar a uno.
1",,1,,,[],https://twitter.com/jorgelfince/status/1466067718067601416
48,David Flórez,@DavidFlorezMP,2021-12-01T02:35:22.000Z,"David Flórez
@DavidFlorezMP
·
30 nov.","@Davivienda
 señores que pasa con la aplicación móvil?. ahora no me reconoce como usuario del banco.
1
1",,1,,1,[],https://twitter.com/DavidFlorezMP/status/1465872120160919562
49,Manuel Moreno M.,@mamomar43,2021-12-01T20:30:36.000Z,"Manuel Moreno M.
@mamomar43
·
1 dic.","@Davivienda
 Este Davivienda es patético para el mal servicio,o mejor; PESIMO http://SERVICIO.Como.es posible que hice retiros por cajero automático por el máximo permitido y luego,con el suficiente dinero en mi cuenta, no puedo hacer ninguna compra,incluso ni almorzar. Que tipos
1",,1,,,[],https://twitter.com/mamomar43/status/1466142709886902276
50,Metro de Medellín,@metrodemedellin,2021-12-01T00:04:36.000Z,"Metro de Medellín
@metrodemedellin
·
30 nov.","En respuesta a 
@WhitneyMeneses
 @Davivienda
 y 
@TuCivica
Hola Whitney. Estamos presentando intermitencias en la app. Si ya la descargaste, acércate a uno de los gestores de Cívica Pay que están en estaciones en este momento para que te ayuden y puedas disfrutar el viaje gratis.
1",,,,1,[],https://twitter.com/metrodemedellin/status/1465834175789998082
51,Hernán Peláez Restrepo,@eldoctorpelaez,2021-12-02T19:13:12.000Z,"Hernán Peláez Restrepo
@eldoctorpelaez
·
2 dic.","Cada vez que me encuentro a Willington Ortíz le digo: ""has debido jugar en Davivienda, porque estabas en el lugar (época) equivocada. #PelaezdeFranciscoenLaW
6
16
171",,6,16,171,[],https://twitter.com/eldoctorpelaez/status/1466485621841702919
52,JuanPCalderon,@JuanPCalderon,2021-12-02T16:48:40.000Z,"JuanPCalderon
@JuanPCalderon
·
2 dic.","Como raro los cajeros multiservicios de 
@Davivienda
 en Unicentro no sirven y los bancos atestados de gente.
El siguiente elemento multimedia incluye contenido potencialmente delicado. Cambiar la configuración
Ver
1
1",,1,1,,[],https://twitter.com/JuanPCalderon/status/1466449247381987341
53,Alvaro mendoza,@alvaroantonio_2,2021-12-02T14:29:48.000Z,"Alvaro mendoza
@alvaroantonio_2
·
2 dic.","La app 
@Davivienda
 y 
@DaviPlata
 aún sin funcionar Dios que grave está este banco ya hoy son tres días. De mal en peor.
3
3",,3,,3,"['https://pbs.twimg.com/media/FFnABt0WUAYkkWG?format=jpg&name=small', 'https://pbs.twimg.com/media/FFnACBwWYA0rWxA?format=jpg&name=small']",https://twitter.com/alvaroantonio_2/status/1466414298280955916
54,Una Como Monita,@EsaEsJuli,2021-12-02T23:17:17.000Z,"Una Como Monita
@EsaEsJuli
·
2 dic.","Si ustedes no pueden confiarle secretos a sus parejas, están como Davivienda.
3
9",✨,3,,9,[],https://twitter.com/EsaEsJuli/status/1466547044273704961
55,La Loca,@CaroKarolaen,2021-12-02T05:35:33.000Z,"La Loca
@CaroKarolaen
·
2 dic.","Me sentía como Davivienda 
4",😌 😂,,,4,[],https://twitter.com/CaroKarolaen/status/1466279853917933571
56,Andrea,@andreapvcx,2021-12-02T00:43:32.000Z,"Andrea
@andreapvcx
·
1 dic.","La app de DAVIVIENDA es la peor que existe
5",,,,5,[],https://twitter.com/andreapvcx/status/1466206364947132420
57,sebastian,@sadadaaas,2021-12-02T14:22:11.000Z,"sebastian
@sadadaaas
·
2 dic.","Esa app de Davivienda me la puede pelar tanto es horrible y una mierda de manejar
1
1",,1,1,,[],https://twitter.com/sadadaaas/status/1466412381853081602
58,cascabel de Mar,@Mari__Marr,2021-12-02T12:45:44.000Z,"cascabel de Mar
@Mari__Marr
·
2 dic.","Hacer un trámite con daviplata es lo peor en el mundo, son tan malos que ni Davivienda se hace responsable 
1",,,,1,[],https://twitter.com/Mari__Marr/status/1466388109680156677
59,Revista Ella,@RevistaElla,2021-12-02T22:09:44.000Z,"Revista Ella
@RevistaElla
·
2 dic.","Davivienda, por séptimo año consecutivo y como apoyo al arte salvadoreño, muestra un catálogo de gigantografías instaladas en la plaza Argentina, mejor conocida como Fuentes Beethoven. #Volarte
2",,,,2,"['https://pbs.twimg.com/media/FFopShzUUAMIe9e?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FFopTKPUYAEWJGZ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FFopS4NXsAERNLM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FFopTYdX0AAzXfB?format=jpg&name=360x360']",https://twitter.com/RevistaElla/status/1466530045455781889
60,John Jairo Bermúdez Garcés,@JohnBermudezG,2021-12-02T18:26:57.000Z,"John Jairo Bermúdez Garcés
@JohnBermudezG
·
2 dic.","1. Con una gran acogida culminó la Rueda de Negocios del Sector Transporte que logré gestionar donde asistieron  
@Bancoldex
, 
@Davivienda
 @BancodeBogota
 y 
@BancoPichincha
 quienes  atendieron a los más de 140 transportadores que asistieron a este importante evento.
1
2
3",,1,2,3,['https://pbs.twimg.com/media/FFn2UD_WQAA-_0u?format=jpg&name=small'],https://twitter.com/JohnBermudezG/status/1466473980798377993
61,Natalie Cea,@NatalieCea,2021-12-02T18:22:11.000Z,"Natalie Cea
@NatalieCea
·
2 dic.","Que mal servicio en #davivienda sonsonate en metro centro,no medejaron entrar con mi hijo de 6 años, a pagar el kinder",,,,,[],https://twitter.com/NatalieCea/status/1466472782125047813
62,La Bracho,@jen_garcia17,2021-12-02T15:03:07.000Z,"La Bracho
@jen_garcia17
·
2 dic.","Que Belleza el Davivienda de Santa Elena a esta hora.
2
3",🔶 ⚫,2,,3,[],https://twitter.com/jen_garcia17/status/1466422686511476745
63,John Jairo Peralta Bernal,@JohnJairoPe,2021-12-02T22:55:16.000Z,"John Jairo Peralta Bernal
@JohnJairoPe
·
2 dic.","#DaviviendaMeRobo, si incluyen personas que te llaman desde la línea del teléfono rojo para robarte y davivienda no responde
Banco Davivienda
@Davivienda
 · 2 dic.
En busca de ofrecer un servicio incluyente, DaviPlata ha venido diseñando y adecuando herramientas para brindar a todos nuestros clientes un servicio amigable, sencillo y confiable. #ColombiaIncluyente
1",,1,,,"['https://pbs.twimg.com/profile_images/1002552048620134400/qZ1XCo_9_mini.jpg', 'https://pbs.twimg.com/media/FFoV9N6WQAYhYAB?format=jpg&name=small']",https://twitter.com/JohnJairoPe/status/1466541505338773507
64,Daniel Vásquez,@Daniel_VasquezB,2021-12-02T01:00:24.000Z,"Daniel Vásquez
@Daniel_VasquezB
·
1 dic.","Pa cuando los pagos por PSE en  
@Davivienda
? Todo el día intentando pagar y sale el mismo mensaje. Si me cobran intereses quién paga 
@SFCsupervisor
2
1",,2,,1,['https://pbs.twimg.com/media/FFkGxs9XMAUgrY9?format=jpg&name=small'],https://twitter.com/Daniel_VasquezB/status/1466210607800242178
65,Luis Ángel,@Luiis23Angel,2021-12-02T12:17:02.000Z,"Luis Ángel
@Luiis23Angel
·
2 dic.","Por qué será siempre la que me gusta con intensidad con ganas de uff, después me entero que tiene novio o marido uno siempre anda como Davivienda en el lugar equivocado no, más bien valiendo es monda",🥲 😂,,,,[],https://twitter.com/Luiis23Angel/status/1466380889647194114
66,ₛᵤₑᵣₜₒₛᵢₜₐ,@mcstbtchs,2021-12-02T11:59:04.000Z,"ₛᵤₑᵣₜₒₛᵢₜₐ
@mcstbtchs
·
2 dic.","La vieja de Davivienda que me está atendiendo sabe menos que yo T.T literal siento que lo está googleando todo
1",✨ 🍀 🍀 ✨,1,,,[],https://twitter.com/mcstbtchs/status/1466376368544002051
